ID,Competitor Name,Sex,Age,Age Grouping,Height,Weight,Nation Code,Year,Sport,Event,Medal
286,Abdul Aziz Hassan Al-Hadba Abdul Karim Abdul Kareem,Male,23,18-25,169,60,KUW,1976,Athletics,Athletics Men's 200 metres,Not Registered
286,Abdul Aziz Hassan Al-Hadba Abdul Karim Abdul Kareem,Male,23,18-25,169,60,KUW,1976,Athletics,Athletics Men's 4 x 100 metres Relay,Not Registered
287,Taha Abdul Karim,Male,20,18-25,156,59,IRQ,1960,Boxing,Boxing Men's Lightweight,Not Registered
288,Masoud Abdul Khamis Al-Rahman,Male,17,Under 18,176,68,QAT,1992,Athletics,Athletics Men's 4 x 400 metres Relay,Not Registered
289,Abdul Haji Abdul Latheef,Male,17,Under 18,168,54,MDV,1988,Athletics,Athletics Men's Marathon,Not Registered
290,Fatima Abdul Majeed Hameed Al-Kirashi,Female,14,Under 18,NULL,NULL,BRN,2000,Swimming,Swimming Women's 50 metres Freestyle,Not Registered
291,Majed Ahmed Abdul Mohamed,Male,26,25-30,172,70,KSA,1984,Football,Football Men's Football,Not Registered
292,Firouz Abdul Mohammadian,Male,34,Over 30,178,74,IRI,1976,Water Polo,Water Polo Men's Water Polo,Not Registered
293,Hussam Abdul Rahman,Male,30,25-30,175,80,JOR,1984,Shooting,"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres",Not Registered
294,Mohamed Ghulom Abdul Rahman,Male,NULL,NULL,175,85,BRN,1984,Shooting,"Shooting Men's Rapid-Fire Pistol, 25 metres",Not Registered
295,Suleman Abdul Rahman,Male,29,25-30,174,55,ETH,1972,Cycling,"Cycling Men's Road Race, Individual",Not Registered
296,Zambrose Abdul Rahman,Male,24,18-25,173,64,MAS,1968,Athletics,Athletics Men's 400 metres Hurdles,Not Registered
297,Lala Abdul Rashid,Male,38,Over 30,169,91,PAK,1960,Hockey,Hockey Men's Hockey,Gold
298,Muhammad Abdul Rashid,Male,23,18-25,181,72,PAK,1964,Hockey,Hockey Men's Hockey,Silver
299,Dana Abdul Razak (Hussain-),Female,22,18-25,163,56,IRQ,2008,Athletics,Athletics Women's 100 metres,Not Registered
299,Dana Abdul Razak (Hussain-),Female,26,25-30,163,56,IRQ,2012,Athletics,Athletics Women's 100 metres,Not Registered
300,A. Abdul Razzak,Male,NULL,NULL,178,70,IRQ,1960,Athletics,Athletics Men's Long Jump,Not Registered
300,A. Abdul Razzak,Male,NULL,NULL,178,70,IRQ,1960,Athletics,Athletics Men's Triple Jump,Not Registered
301,Mohamed Abdul Razzak,Male,NULL,NULL,177,68,IRQ,1960,Athletics,Athletics Men's High Jump,Not Registered
302,Muhammad Abdul Razzaq,Male,NULL,NULL,NULL,NULL,PAK,1948,Hockey,Hockey Men's Hockey,Not Registered
303,Hazim Abdul Ridha,Male,NULL,NULL,160,52,IRQ,1980,Wrestling,"Wrestling Men's Flyweight, Greco-Roman",Not Registered
304,Rauf Abdul Seoud,Male,21,18-25,NULL,NULL,EGY,1936,Diving,Diving Men's Platform,Not Registered
304,Rauf Abdul Seoud,Male,33,Over 30,NULL,NULL,EGY,1948,Diving,Diving Men's Platform,Not Registered
305,Samir Ahmed Abdul Shakour,Male,24,18-25,180,72,KSA,1984,Football,Football Men's Football,Not Registered
306,Nabil Abdul Tahlak,Male,39,Over 30,NULL,NULL,UAE,1996,Shooting,"Shooting Men's Air Rifle, 10 metres",Not Registered
307,Fahmi Ahmed Abdul Wahab Al-Tahri,Male,23,18-25,NULL,NULL,YAR,1988,Athletics,Athletics Men's 800 metres,Not Registered
308,Mohamed Abdul Wahab Al-Salah,Male,21,18-25,NULL,NULL,KUW,1980,Swimming,Swimming Men's 400 metres Freestyle,Not Registered
308,Mohamed Abdul Wahab Al-Salah,Male,21,18-25,NULL,NULL,KUW,1980,Swimming,Swimming Men's 100 metres Butterfly,Not Registered
309,Qazi Abdul Waheed,Male,30,25-30,NULL,NULL,PAK,1952,Hockey,Hockey Men's Hockey,Not Registered
310,Patmawati Abdul Wahid,Female,32,Over 30,158,58,INA,2004,Weightlifting,Weightlifting Women's Lightweight,Not Registered
311,Haidar Abdul-Amir Hassan,Male,21,18-25,185,80,IRQ,2004,Football,Football Men's Football,Not Registered
312,Haidar Abdul-Razzaq Hassan,Male,22,18-25,175,75,IRQ,2004,Football,Football Men's Football,Not Registered
313,"Lawal Kolawole ""Kola"" Abdulai",Male,21,18-25,172,66,NGR,1968,Athletics,Athletics Men's 100 metres,Not Registered
313,"Lawal Kolawole ""Kola"" Abdulai",Male,21,18-25,172,66,NGR,1968,Athletics,Athletics Men's 4 x 100 metres Relay,Not Registered
313,"Lawal Kolawole ""Kola"" Abdulai",Male,25,18-25,172,66,NGR,1972,Athletics,Athletics Men's 100 metres,Not Registered
313,"Lawal Kolawole ""Kola"" Abdulai",Male,25,18-25,172,66,NGR,1972,Athletics,Athletics Men's 4 x 100 metres Relay,Not Registered
314,"Rukayatu ""Ruky"" Abdulai",Female,22,18-25,180,59,CAN,2008,Athletics,Athletics Women's Long Jump,Not Registered
315,Mona Ahmad Abdulaziz Hassanein,Female,26,25-30,166,61,EGY,2012,Fencing,"Fencing Women's epee, Individual",Not Registered
316,Zagalav Abdulbekovich Abdulbekov,Male,26,25-30,160,62,URS,1972,Wrestling,"Wrestling Men's Featherweight, Freestyle",Gold
317,Roosevelt M. Abdulgafur,Male,24,18-25,181,73,PHI,1968,Swimming,Swimming Men's 100 metres Freestyle,Not Registered
317,Roosevelt M. Abdulgafur,Male,24,18-25,181,73,PHI,1968,Swimming,Swimming Men's 200 metres Freestyle,Not Registered
317,Roosevelt M. Abdulgafur,Male,24,18-25,181,73,PHI,1968,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Not Registered
317,Roosevelt M. Abdulgafur,Male,24,18-25,181,73,PHI,1968,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Not Registered
317,Roosevelt M. Abdulgafur,Male,24,18-25,181,73,PHI,1968,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Not Registered
318,Ahmed Abdulkareem Ahmed,Male,20,18-25,NULL,NULL,IRQ,2012,Boxing,Boxing Men's Welterweight,Not Registered
319,Gamal Ahmed Abdulla,Male,28,25-30,NULL,NULL,EGY,1992,Hockey,Hockey Men's Hockey,Not Registered
320,Mohamed Sayed Abdulla,Male,18,18-25,NULL,NULL,EGY,1992,Hockey,Hockey Men's Hockey,Not Registered
321,Ahmad Hassan Abdullah,Male,27,25-30,164,55,QAT,2008,Athletics,"Athletics Men's 10,000 metres",Not Registered
322,Ahmed Ghanim Abdullah,Male,20,18-25,184,79,EGY,1988,Swimming,Swimming Men's 200 metres Butterfly,Not Registered
323,Aquil Hashim Abdullah (Shumate-),Male,31,Over 30,187,83,USA,2004,Rowing,Rowing Men's Double Sculls,Not Registered
324,Atallah Abdullah,Male,32,Over 30,NULL,88,IRQ,1992,Weightlifting,Weightlifting Men's Middle-Heavyweight,Not Registered
325,Magdy Ahmed Abdullah,Male,25,18-25,NULL,NULL,EGY,1992,Hockey,Hockey Men's Hockey,Not Registered
326,Mohamed Abdullah,Male,NULL,NULL,176,66,UAE,1988,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Not Registered
326,Mohamed Abdullah,Male,NULL,NULL,176,66,UAE,1988,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Not Registered
326,Mohamed Abdullah,Male,NULL,NULL,176,66,UAE,1988,Swimming,Swimming Men's 100 metres Backstroke,Not Registered
326,Mohamed Abdullah,Male,NULL,NULL,176,66,UAE,1988,Swimming,Swimming Men's 200 metres Backstroke,Not Registered
326,Mohamed Abdullah,Male,NULL,NULL,176,66,UAE,1988,Swimming,Swimming Men's 200 metres Individual Medley,Not Registered
326,Mohamed Abdullah,Male,NULL,NULL,176,66,UAE,1988,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Not Registered
327,Mohamed Samy Abdullah,Male,NULL,NULL,165,65,UAE,1984,Athletics,Athletics Men's 100 metres,Not Registered
328,Mohamed Abdullah,Male,NULL,NULL,180,76,IRQ,1960,Athletics,Athletics Men's Pole Vault,Not Registered
329,Osama Abdullah,Male,21,18-25,NULL,NULL,KUW,1992,Football,Football Men's Football,Not Registered
330,Tewfik Abdullah,Male,23,18-25,NULL,NULL,EGY,1920,Football,Football Men's Football,Not Registered
331,Wan Azlan Abdullah,Male,21,18-25,188,77,MAS,1996,Swimming,Swimming Men's 200 metres Individual Medley,Not Registered
331,Wan Azlan Abdullah,Male,21,18-25,188,77,MAS,1996,Swimming,Swimming Men's 400 metres Individual Medley,Not Registered
331,Wan Azlan Abdullah,Male,21,18-25,188,77,MAS,1996,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Not Registered
331,Wan Azlan Abdullah,Male,25,18-25,188,77,MAS,2000,Swimming,Swimming Men's 400 metres Individual Medley,Not Registered
332,Zarinah Abdullah,Female,21,18-25,NULL,NULL,SGP,1992,Badminton,Badminton Women's Singles,Not Registered
332,Zarinah Abdullah,Female,25,18-25,NULL,NULL,SGP,1996,Badminton,Badminton Women's Singles,Not Registered
333,Abdel Wahab Abdullah Salih,Male,NULL,NULL,190,75,SUD,1968,Boxing,Boxing Men's Light-Middleweight,Not Registered
333,Abdel Wahab Abdullah Salih,Male,NULL,NULL,190,75,SUD,1972,Boxing,Boxing Men's Middleweight,Not Registered
